"campaignid","sample","longitude","latitude","location","planned.or.exploratory","broad.ascidians","broad.bryozoa","broad.macroalgae","broad.octocoral.black","broad.sponges","broad.unconsolidated","total.points.annotated","broad.consolidated","broad.hydroids","depth","broad.crinoids","broad.invertebrate.complex","broad.seagrasses","broad.stony.corals","broad.true.anemones","broad.seagrasses_amphibolis.sp.","broad.seagrasses_posidonia.sp.","broad.seagrasses_halophila.sp.","broad.seagrasses_rupia.sp.","broad.seagrasses_zostera.sp.","broad.echinodermata","broad.sea.stars","broad.zoanthids","broad.seagrasses_thalassodendron.sp."
"Beagle_AMP_Stereo_BRUV","25","147.149","-39.3661","Beagle AMP","MBH","0","2","0","1","12","0",NA,"0","2",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Beagle_AMP_Stereo_BRUV","26","147.499","-39.595","Beagle AMP","MBH","1","0","0","0","2","0",NA,"0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Beagle_AMP_Stereo_BRUV","28","147.127","-39.3375","Beagle AMP","MBH","0","2","0","1","4","0",NA,"0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Beagle_AMP_Stereo_BRUV","29","147.534","-39.5098","Beagle AMP","MBH","0","8","0","1","7","0",NA,"0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Beagle_AMP_Stereo_BRUV","30","147.107","-39.2961","Beagle AMP","MBH","0","1","0","0","6","0",NA,"0","2",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Beagle_AMP_Stereo_BRUV","31","147.11","-39.3479","Beagle AMP","MBH","0","2","0","0","1","0",NA,"0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Beagle_AMP_Stereo_BRUV","32","147.145","-39.0637","Beagle AMP","MBH","0","1","0","0","0","12",NA,"0","2",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Beagle_AMP_Stereo_BRUV","34","147.081","-39.0492","Beagle AMP","MBH","0","0","0","0","1","0",NA,"0","1",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Beagle_AMP_Stereo_BRUV","35","147.526","-39.557","Beagle AMP","MBH","2","0","0","0","3","0",NA,"0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Beagle_AMP_Stereo_BRUV","36","147.074","-39.4101","Beagle AMP","MBH","0","2","0","0","3","0",NA,"0","4",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Beagle_AMP_Stereo_BRUV","37","147.125","-39.343","Beagle AMP","MBH","0","1","0","0","0","0",NA,"0","2",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Beagle_AMP_Stereo_BRUV","38","147.32","-39.3163","Beagle AMP","MBH","0","1","0","3","1","0",NA,"0","1",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Beagle_AMP_Stereo_BRUV","39","147.153","-39.0917","Beagle AMP","MBH","0","0","0","0","5","0",NA,"0","2",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Beagle_AMP_Stereo_BRUV","40","146.616","-39.1133","Beagle AMP","MBH","0","0","0","1","1","0",NA,"0","2",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Beagle_AMP_Stereo_BRUV","41","147.105","-39.058","Beagle AMP","MBH","0","0","0","0","3","0",NA,"0","2",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Beagle_AMP_Stereo_BRUV","42","147.14","-39.4349","Beagle AMP","MBH","0","0","0","7","1","0",NA,"0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Beagle_AMP_Stereo_BRUV","43","147.15","-39.375","Beagle AMP","MBH","0","2","0","0","5","0",NA,"0","1",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Beagle_AMP_Stereo_BRUV","44","147.134","-39.3244","Beagle AMP","MBH","0","1","0","1","5","0",NA,"0","3",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Beagle_AMP_Stereo_BRUV","46","147.185","-39.4438","Beagle AMP","MBH","0","1","0","0","1","0",NA,"0","1",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Beagle_AMP_Stereo_BRUV","47","147.155","-39.3782","Beagle AMP","MBH","0","1","0","0","1","0",NA,"0","1",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
