"","x","y","inclusion.probabilities","ID","DropC"
"167",-1304441.67928533,-3925465.26034158,1,2446892,167
"168",-919986.216235327,-3794454.66793211,1,1296392,168
"169",-823872.350472827,-3736194.87853105,1,784517,169
"170",-998060.248731635,-3910974.24673421,1,2320528,170
"171",-1046265.04909867,-3889977.06375211,1,2135765,171
"172",-661809.586048673,-3758670.73637105,0.374458287158865,982665,172
"173",-1358561.1790839,-3977218.88036789,1,2901709,173
"174",-733673.184141865,-3700410.94697,1,470222,174
"175",-1214242.51295437,-3918959.09096684,1,2389997,175
"176",-829787.049904365,-3787948.49855737,1,1239497,176
"177",-697889.252581058,-3680892.43884579,1,298743,177
"178",-938026.049501519,-3884949.56923526,1,2091931,178
"179",-1034139.91526402,-3928718.34502895,1,2476406,179
"180",-1154208.31372425,-3870458.55562789,1,1963800,180
"181",-769752.85067425,-3739152.22824684,1,810700,181
"182",-865866.71643675,-3826689.77983421,1,1579975,182
"183",-625729.919516288,-3719929.45509421,1,642187,183
"184",-953108.533051942,-3923690.85051211,1,2432480,184
"185",-856994.667289442,-3865431.06111105,1,1920605,185
"186",-1169290.79727467,-3909199.83690474,1,2304349,186
"187",-784835.334224673,-3778189.24449526,1,1153849,187
"188",-1073176.93151217,-3909199.83690474,1,2304674,188
"189",-929154.000354212,-3865431.06111105,1,1920361,189
"190",-796960.468059327,-3719929.45509421,1,641608,190
"191",-1277529.79687183,-3938477.59909105,1,2561383,191
"192",-893074.333821827,-3807171.27171,1,1408283,192
"193",-652641.801929788,-3661669.66569316,1,129896,193
"194",-964937.931915019,-3904468.07735947,1,2263440,194
"195",-1109256.59804456,-3889681.32878053,1,2132952,195
"196",-724801.134994558,-3758670.73637105,1,982452,196
"197",-820915.000757058,-3846208.28795842,1,1751727,197
"198",-706761.301728365,-3700410.94697,1,470313,198
"199",-1235535.4309079,-3899440.58284263,1,2218325,199
"200",-851079.967857904,-3768429.99043316,1,1067825,200
"201",-875034.500555635,-3884949.56923526,1,2092144,201
"202",-1115171.2974761,-3928718.34502895,1,2476132,202
"203",-1019057.4317136,-3870458.55562789,1,1964257,203
"204",-634601.968663596,-3739152.22824684,1,811157,204
"205",-742840.96826075,-3732941.79384368,1,756191,205
"206",-838954.83402325,-3820183.61045947,1,1522866,206
"207",-670681.635195981,-3674682.00444263,1,244235,207
"208",-911114.167088019,-3878443.39986053,1,2034822,208
"209",-1007228.03285052,-3922212.17565421,1,2419297,209
